params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.8100000000000023,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.1}",2.5499999999999545,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""discount_factor"": 0.2}",1.8700000000000045,100,-0.09370515762298023,-0.09388888888888888,-0.11406249999999998,-0.060714285714285735,0.00957618620261532
"{""discount_factor"": 0.3}",1.8799999999999955,100,-0.09178337650580774,-0.09098360655737706,-0.11551724137931033,-0.060714285714285735,0.010456173183568746
"{""discount_factor"": 0.4}",1.830000000000041,100,-0.09119843494830666,-0.09017857142857144,-0.118,-0.060714285714285735,0.010556763316847188
"{""discount_factor"": 0.5}",1.829999999999984,100,-0.08949084385009445,-0.0889955982392957,-0.11956521739130431,-0.060714285714285735,0.012383949292259512
"{""discount_factor"": 0.6}",2.069999999999993,100,-0.08898015850985873,-0.08841976950354609,-0.128125,-0.050000000000000024,0.013552899170704591
"{""discount_factor"": 0.7}",1.839999999999975,100,-0.08815266752085932,-0.08641975308641975,-0.1375,-0.056000000000000015,0.014684204128185493
"{""discount_factor"": 0.8}",1.8500000000000227,100,-0.08949486380408818,-0.08658536585365853,-0.12432432432432435,-0.06666666666666667,0.011504644512159622
"{""discount_factor"": 0.9}",1.9399999999999977,100,-0.09116685124722906,-0.08607594936708857,-0.1642857142857143,-0.056000000000000015,0.021006135654149365
